Bus ID,Bus Type,Capacity,Battery Type,Battery Capacity
5001,Suburban,59,Lithium-Ion,258
5002,Urban,58,Lithium-Ion,192
5003,Suburban,51,Lithium-Ion,291
5004,Suburban,44,Lead-Acid,174
5005,Suburban,54,Lead-Acid,210
5006,Urban,51,Lead-Acid,288
5007,Urban,70,Lithium-Ion,266
5008,Suburban,47,Lithium-Ion,150
5009,Urban,55,Lithium-Ion,217
5010,Urban,56,Lead-Acid,289
5011,Suburban,47,Lithium-Ion,268
5012,Urban,49,Lithium-Ion,160
5013,Urban,57,Lead-Acid,161
5014,Suburban,59,Lithium-Ion,222
5015,Suburban,60,Lead-Acid,266
5016,Suburban,74,Lithium-Ion,187
5017,Suburban,59,Lithium-Ion,189
5018,Suburban,64,Lithium-Ion,217
5019,Urban,77,Lithium-Ion,251
5020,Suburban,73,Lead-Acid,238
5021,Suburban,47,Lithium-Ion,229
5022,Suburban,51,Lithium-Ion,177
5023,Suburban,77,Lithium-Ion,165
5024,Suburban,69,Lithium-Ion,223
5025,Urban,48,Lead-Acid,177
5026,Urban,78,Lithium-Ion,203
5027,Urban,71,Lithium-Ion,167
5028,Urban,74,Lithium-Ion,206
5029,Suburban,68,Lead-Acid,245
5030,Suburban,68,Lead-Acid,296
5031,Urban,58,Lithium-Ion,185
5032,Urban,69,Lead-Acid,181
5033,Urban,51,Lithium-Ion,184
5034,Suburban,52,Lithium-Ion,229
5035,Suburban,56,Lead-Acid,224
5036,Urban,46,Lead-Acid,251
5037,Urban,62,Lithium-Ion,176
5038,Urban,66,Lead-Acid,172
5039,Suburban,68,Lead-Acid,266
5040,Suburban,51,Lithium-Ion,233
5041,Urban,61,Lead-Acid,266
5042,Suburban,49,Lead-Acid,151
5043,Urban,66,Lead-Acid,215
5044,Urban,70,Lead-Acid,212
5045,Suburban,47,Lithium-Ion,184
5046,Urban,78,Lithium-Ion,277
5047,Suburban,60,Lithium-Ion,202
5048,Suburban,79,Lithium-Ion,291
5049,Urban,43,Lead-Acid,202
5050,Urban,54,Lithium-Ion,276
5051,Suburban,69,Lithium-Ion,196
5052,Suburban,63,Lead-Acid,263
5053,Suburban,69,Lead-Acid,248
5054,Suburban,79,Lithium-Ion,176
5055,Suburban,72,Lithium-Ion,243
5056,Urban,50,Lead-Acid,190
5057,Suburban,54,Lead-Acid,191
5058,Suburban,65,Lithium-Ion,214
5059,Suburban,41,Lithium-Ion,159
5060,Suburban,79,Lithium-Ion,263
5061,Suburban,70,Lithium-Ion,186
5062,Suburban,51,Lead-Acid,222
5063,Suburban,54,Lithium-Ion,178
5064,Suburban,56,Lithium-Ion,283
5065,Urban,47,Lead-Acid,235
5066,Urban,66,Lithium-Ion,211
5067,Urban,68,Lithium-Ion,238
5068,Urban,79,Lead-Acid,263
5069,Suburban,61,Lithium-Ion,188
5070,Urban,56,Lithium-Ion,150
5071,Suburban,76,Lithium-Ion,285
5072,Urban,59,Lithium-Ion,152
5073,Suburban,77,Lead-Acid,281
5074,Urban,48,Lithium-Ion,170
5075,Suburban,43,Lead-Acid,299
5076,Urban,67,Lithium-Ion,174
5077,Urban,63,Lithium-Ion,260
5078,Suburban,61,Lithium-Ion,283
5079,Urban,65,Lithium-Ion,209
5080,Urban,65,Lithium-Ion,172
5081,Suburban,61,Lead-Acid,193
5082,Urban,75,Lithium-Ion,260
5083,Urban,73,Lithium-Ion,182
5084,Suburban,51,Lithium-Ion,189
5085,Urban,56,Lithium-Ion,205
5086,Suburban,71,Lithium-Ion,188
5087,Suburban,55,Lead-Acid,179
5088,Suburban,66,Lithium-Ion,275
5089,Suburban,48,Lithium-Ion,282
5090,Urban,75,Lithium-Ion,289
5091,Suburban,57,Lead-Acid,169
5092,Urban,52,Lead-Acid,251
5093,Urban,56,Lithium-Ion,150
5094,Urban,40,Lead-Acid,228
5095,Suburban,63,Lithium-Ion,245
5096,Urban,77,Lead-Acid,270
5097,Urban,64,Lithium-Ion,242
5098,Urban,62,Lithium-Ion,266
5099,Suburban,41,Lithium-Ion,190
5100,Urban,49,Lead-Acid,217
5101,Suburban,53,Lead-Acid,294
5102,Suburban,77,Lithium-Ion,150
5103,Suburban,54,Lithium-Ion,157
5104,Suburban,76,Lead-Acid,292
5105,Suburban,72,Lithium-Ion,186
5106,Urban,53,Lead-Acid,237
5107,Urban,52,Lithium-Ion,225
5108,Urban,64,Lead-Acid,157
5109,Urban,65,Lead-Acid,230
5110,Suburban,69,Lead-Acid,278
5111,Urban,78,Lead-Acid,275
5112,Urban,74,Lithium-Ion,185
5113,Urban,62,Lead-Acid,186
5114,Suburban,69,Lead-Acid,269
5115,Suburban,62,Lead-Acid,175
5116,Suburban,70,Lead-Acid,279
5117,Suburban,76,Lead-Acid,265
5118,Suburban,63,Lithium-Ion,191
5119,Urban,47,Lead-Acid,260
5120,Urban,56,Lithium-Ion,247
5121,Urban,57,Lithium-Ion,206
5122,Urban,61,Lead-Acid,164
5123,Suburban,46,Lithium-Ion,219
5124,Suburban,68,Lithium-Ion,235
5125,Suburban,45,Lithium-Ion,190
5126,Suburban,77,Lead-Acid,167
5127,Suburban,55,Lead-Acid,292
5128,Suburban,61,Lithium-Ion,267
5129,Urban,55,Lead-Acid,161
5130,Suburban,79,Lithium-Ion,213
5131,Urban,61,Lead-Acid,228
5132,Suburban,51,Lithium-Ion,173
5133,Urban,69,Lithium-Ion,174
5134,Suburban,47,Lead-Acid,203
5135,Suburban,46,Lead-Acid,211
5136,Suburban,43,Lead-Acid,255
5137,Suburban,40,Lithium-Ion,254
5138,Suburban,40,Lead-Acid,241
5139,Suburban,58,Lead-Acid,238
5140,Urban,67,Lead-Acid,231
5141,Suburban,64,Lead-Acid,279
5142,Suburban,52,Lithium-Ion,182
5143,Suburban,59,Lead-Acid,242
5144,Urban,53,Lithium-Ion,205
5145,Urban,75,Lead-Acid,261
5146,Suburban,53,Lead-Acid,249
5147,Suburban,41,Lead-Acid,211
5148,Suburban,58,Lead-Acid,289
5149,Suburban,42,Lead-Acid,164
5150,Urban,49,Lead-Acid,227
5151,Urban,67,Lithium-Ion,274
5152,Urban,53,Lithium-Ion,281
5153,Suburban,69,Lithium-Ion,165
5154,Suburban,69,Lithium-Ion,286
5155,Urban,79,Lead-Acid,243
5156,Suburban,70,Lead-Acid,269
5157,Urban,61,Lithium-Ion,189
5158,Urban,59,Lead-Acid,272
5159,Suburban,71,Lithium-Ion,257
5160,Suburban,67,Lead-Acid,163
5161,Suburban,53,Lead-Acid,233
5162,Urban,46,Lead-Acid,226
5163,Suburban,48,Lithium-Ion,192
5164,Suburban,53,Lithium-Ion,290
5165,Suburban,40,Lead-Acid,278
5166,Suburban,64,Lead-Acid,259
5167,Suburban,73,Lead-Acid,164
5168,Suburban,69,Lead-Acid,265
5169,Suburban,75,Lead-Acid,207
5170,Suburban,74,Lead-Acid,194
5171,Suburban,74,Lead-Acid,205
5172,Suburban,51,Lithium-Ion,151
5173,Suburban,49,Lead-Acid,224
5174,Urban,62,Lithium-Ion,258
5175,Urban,40,Lithium-Ion,176
5176,Urban,67,Lithium-Ion,273
5177,Urban,45,Lead-Acid,235
5178,Suburban,65,Lead-Acid,228
5179,Suburban,65,Lead-Acid,281
5180,Urban,59,Lead-Acid,168
5181,Urban,76,Lead-Acid,295
5182,Urban,62,Lithium-Ion,252
5183,Urban,61,Lithium-Ion,200
5184,Urban,70,Lead-Acid,278
5185,Urban,50,Lithium-Ion,171
5186,Suburban,70,Lead-Acid,225
5187,Urban,54,Lead-Acid,235
5188,Suburban,63,Lead-Acid,159
5189,Urban,79,Lithium-Ion,284
5190,Suburban,54,Lithium-Ion,218
5191,Urban,41,Lithium-Ion,284
5192,Suburban,69,Lithium-Ion,189
5193,Urban,73,Lead-Acid,262
5194,Urban,51,Lead-Acid,159
5195,Suburban,71,Lithium-Ion,257
5196,Suburban,52,Lithium-Ion,170
5197,Suburban,70,Lithium-Ion,271
5198,Suburban,71,Lead-Acid,240
5199,Suburban,78,Lithium-Ion,197
5200,Urban,65,Lead-Acid,152
5201,Urban,72,Lithium-Ion,286
5202,Urban,46,Lead-Acid,151
5203,Suburban,47,Lithium-Ion,156
5204,Urban,63,Lead-Acid,243
5205,Suburban,76,Lithium-Ion,176
5206,Urban,46,Lithium-Ion,268
5207,Urban,55,Lithium-Ion,199
5208,Urban,47,Lithium-Ion,198
5209,Suburban,73,Lithium-Ion,185
